                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                 1.7315,                 1.9347,                 1.8414,                0.28315,                0.33333,                0.25233,                0.12524,                 2.1919,                 6.2264,                 2.5768,               0.000854,               0.000854,               0.000854
                     34,                 1.4378,                 1.5094,                 1.4753,                0.80113,                   0.25,                0.31864,                 0.1306,                 2.2037,                 4.8917,                 2.4465,             0.00084162,             0.00084162,             0.00084162
                     35,                 1.5739,                 1.5309,                 1.5745,                0.18161,                0.58333,                0.25326,                0.07145,                 2.2927,                  4.583,                 2.4651,             0.00082925,             0.00082925,             0.00082925
                     36,                 1.3911,                 1.4345,                   1.52,                0.18161,                0.58333,                0.25326,                0.07145,                 2.2927,                  4.583,                 2.4651,             0.00081688,             0.00081688,             0.00081688
                     37,                 1.3554,                 1.3233,                 1.4039,                0.71583,                0.33333,                0.26817,                0.11306,                 2.3016,                 3.7712,                 2.6579,              0.0008045,              0.0008045,              0.0008045
                     38,                  1.521,                 1.3924,                 1.6744,                0.26257,                0.58333,                0.24921,                0.07688,                 2.5718,                 3.3646,                 2.8356,             0.00079213,             0.00079213,             0.00079213
                     39,                 1.4696,                 1.5844,                 1.5465,                0.26257,                0.58333,                0.24921,                0.07688,                 2.5718,                 3.3646,                 2.8356,             0.00077975,             0.00077975,             0.00077975
                     40,                 1.4879,                 1.3801,                 1.5818,                 0.1317,                0.33333,                0.20495,                0.09157,                 2.7591,                 2.7559,                 2.8231,             0.00076738,             0.00076738,             0.00076738
                     41,                 1.4352,                 1.2545,                 1.5858,                 0.1317,                0.33333,                0.20495,                0.09157,                 2.7591,                 2.7559,                 2.8231,               0.000755,               0.000755,               0.000755
                     42,                 1.6222,                 1.3526,                 1.8688,                0.15034,                0.16667,                0.09209,                0.04148,                 3.0327,                  3.454,                 2.9857,             0.00074263,             0.00074263,             0.00074263
